EmployeeID,Name,Department,JoinDate,LastPromotionDate,Salary,PerformanceScore,Satisfaction,WorkHours,IsResigned,Join year,Satisfaction Group,tenure,IsResignedVal,Total Count
EMP_0013,Rina Wijaya,HR,2019-03-12,2021-05-11,"13,471,495",4.5,2.8,10.0,Active,2019,3,d. > 5 Years,0,1
EMP_0014,Sari Pratama,HR,2021-08-20,2022-10-03,"13,627,744",4.8,3.2,11.9,Resigned,2021,4,c. < 3-5 Year,1,1
EMP_0015,Hendra Santoso,Engineering,2023-06-14,2025-06-08,"10,145,968",4.3,4.2,10.3,Active,2023,5,b. < 1-3 Years,0,1
EMP_0016,Rina Hidayat,Sales,2024-01-18,2025-02-06,"10,014,829",4.1,2.8,12.0,Resigned,2024,3,b. < 1-3 Years,1,1
EMP_0017,Rina Nugroho,Engineering,2020-10-12,,"9,846,100",3.0,3.8,9.8,Resigned,2020,4,c. < 3-5 Year,1,1
EMP_0018,Budi Lestari,Engineering,2018-05-09,2019-03-30,"11,411,406",3.5,2.8,10.3,Resigned,2018,3,d. > 5 Years,1,1
EMP_0019,Tono Nugroho,Sales,2023-04-22,2024-04-30,"7,331,301",2.3,3.7,9.2,Active,2023,4,b. < 1-3 Years,0,1
EMP_0020,Budi Santoso,Engineering,2022-07-08,2023-08-15,"7,542,731",2.7,2.9,9.7,Resigned,2022,3,b. < 1-3 Years,1,1
EMP_0021,Omar Lestari,Customer Support,2018-11-05,2022-06-04,"9,548,467",2.3,3.2,12.0,Active,2018,4,d. > 5 Years,0,1
EMP_0022,Hendra Wijaya,Finance,2023-06-13,2025-01-23,"11,023,351",4.7,5.0,8.9,Active,2023,5,b. < 1-3 Years,0,1
EMP_0023,Omar Kusuma,Finance,2024-03-26,2025-05-29,"6,507,172",2.5,3.6,8.1,Active,2024,4,b. < 1-3 Years,0,1
EMP_0024,Budi Permana,Engineering,2018-07-25,2021-11-15,"14,435,769",4.8,5.0,7.8,Active,2018,5,d. > 5 Years,0,1
EMP_0025,Fitri Santoso,HR,2018-10-06,2020-07-28,"11,996,587",3.2,2.2,11.5,Resigned,2018,3,d. > 5 Years,1,1
EMP_0026,Wati Santoso,Finance,2024-07-18,2025-06-24,"10,757,129",4.8,3.0,10.3,Resigned,2024,3,b. < 1-3 Years,1,1
EMP_0027,Eko Kusuma,Finance,2021-07-19,2022-06-12,"7,531,432",2.0,3.5,12.0,Resigned,2021,4,c. < 3-5 Year,1,1
EMP_0028,Gita Kusuma,Sales,2021-11-30,2023-10-11,"8,576,024",3.1,4.0,9.2,Active,2021,4,c. < 3-5 Year,0,1
EMP_0029,Rina Pratama,Operations,2024-03-21,,"10,860,858",4.0,2.3,11.4,Active,2024,3,b. < 1-3 Years,0,1
EMP_0030,Sari Wijaya,Marketing,2021-02-28,2023-07-30,"8,952,010",2.6,2.9,11.3,Resigned,2021,3,c. < 3-5 Year,1,1
EMP_0031,Budi Santoso,Operations,2022-10-01,2023-05-14,"7,244,551",2.0,5.0,7.7,Active,2022,5,b. < 1-3 Years,0,1
EMP_0032,Omar Hidayat,HR,2018-02-09,,"14,998,488",4.8,2.8,11.5,Active,2018,3,d. > 5 Years,0,1
EMP_0033,Tono Wijaya,Finance,2019-06-07,,"11,444,498",3.1,3.7,11.0,Active,2019,4,d. > 5 Years,0,1
EMP_0034,Gita Lestari,Operations,2019-02-26,2022-10-14,"13,678,262",4.7,3.0,11.9,Active,2019,3,d. > 5 Years,0,1
EMP_0035,Hendra Wijaya,Customer Support,2019-12-27,2020-08-13,"9,948,379",2.5,5.0,8.7,Active,2019,5,d. > 5 Years,0,1
EMP_0036,Hendra Kusuma,Sales,2019-03-19,2019-12-03,"13,063,737",4.6,5.0,8.0,Active,2019,5,d. > 5 Years,0,1
EMP_0037,Hendra Lestari,Engineering,2020-03-02,2022-03-22,"13,740,961",4.6,4.6,8.4,Active,2020,5,d. > 5 Years,0,1
EMP_0038,Sari Permana,Engineering,2019-04-18,2021-04-01,"8,912,887",2.5,5.0,7.2,Active,2019,5,d. > 5 Years,0,1
EMP_0039,Kartika Hidayat,HR,2023-09-26,,"10,932,870",4.7,4.8,8.3,Active,2023,5,b. < 1-3 Years,0,1
EMP_0040,Sari Lestari,Marketing,2022-11-02,,"10,276,040",4.0,3.8,10.1,Active,2022,4,b. < 1-3 Years,0,1
EMP_0042,Fitri Kusuma,Finance,2024-02-23,2025-01-23,"7,630,307",2.9,3.3,10.9,Active,2024,4,b. < 1-3 Years,0,1
EMP_0043,Omar Nugroho,Operations,2020-05-25,2021-11-03,"11,399,252",4.0,4.0,9.6,Active,2020,4,c. < 3-5 Year,0,1
EMP_0044,Hendra Kusuma,Sales,2020-03-26,,"8,082,734",2.1,4.0,10.1,Active,2020,4,d. > 5 Years,0,1
EMP_0045,Tono Lestari,Operations,2022-04-22,2024-03-01,"8,091,363",2.4,5.0,7.0,Active,2022,5,c. < 3-5 Year,0,1
EMP_0046,Dewi Hidayat,Sales,2019-12-22,2023-05-15,"10,985,402",3.4,5.0,8.2,Active,2019,5,d. > 5 Years,0,1
EMP_0047,Omar Permana,Customer Support,2022-12-18,2025-06-21,"11,815,487",4.7,3.0,11.2,Active,2022,3,b. < 1-3 Years,0,1
EMP_0048,Putri Nugroho,Marketing,2020-10-09,2022-10-26,"12,309,682",4.3,3.3,9.4,Active,2020,4,c. < 3-5 Year,0,1
EMP_0049,Joko Lestari,Marketing,2021-10-07,2025-04-15,"6,835,492",2.2,4.8,8.2,Active,2021,5,c. < 3-5 Year,0,1
EMP_0050,Citra Hidayat,Finance,2021-09-17,2024-07-14,"8,293,274",2.2,4.8,9.1,Active,2021,5,c. < 3-5 Year,0,1
EMP_0051,Andi Hidayat,Finance,2018-01-25,2020-03-26,"14,359,673",4.3,3.4,11.5,Active,2018,4,d. > 5 Years,0,1
EMP_0052,Sari Lestari,Finance,2020-06-17,,"10,588,094",3.5,4.5,8.7,Active,2020,5,c. < 3-5 Year,0,1
EMP_0053,Fitri Nugroho,Sales,2023-12-28,,"8,590,464",3.2,2.5,10.3,Resigned,2023,3,b. < 1-3 Years,1,1
EMP_0054,Omar Wijaya,Engineering,2020-12-01,2022-08-06,"10,051,624",3.4,2.9,10.8,Active,2020,3,c. < 3-5 Year,0,1
EMP_0055,Nia Kusuma,Customer Support,2018-12-02,2022-06-08,"9,940,155",2.2,4.5,8.7,Active,2018,5,d. > 5 Years,0,1
EMP_0056,Budi Pratama,Sales,2020-03-27,2024-03-18,"8,149,635",2.5,3.0,9.4,Active,2020,3,d. > 5 Years,0,1
EMP_0057,Omar Kusuma,Customer Support,2022-02-19,,"11,102,759",3.8,3.8,10.6,Active,2022,4,c. < 3-5 Year,0,1
EMP_0058,Joko Santoso,HR,2018-04-16,2022-01-04,"12,645,979",4.0,4.4,9.0,Active,2018,5,d. > 5 Years,0,1
EMP_0059,Hendra Santoso,Operations,2021-05-20,2025-03-29,"12,780,767",4.4,3.1,11.9,Resigned,2021,4,c. < 3-5 Year,1,1
EMP_0060,Nia Permana,Engineering,2023-09-04,2024-03-14,"11,888,935",4.5,3.6,9.5,Active,2023,4,b. < 1-3 Years,0,1
EMP_0061,Omar Wijaya,Finance,2019-12-23,2021-12-25,"12,543,646",3.8,3.6,9.7,Active,2019,4,d. > 5 Years,0,1
EMP_0062,Tono Kusuma,Marketing,2020-10-02,2021-09-24,"9,171,427",2.8,4.3,8.2,Active,2020,5,c. < 3-5 Year,0,1
EMP_0063,Maya Permana,Engineering,2023-07-18,2024-07-18,"8,974,257",3.5,2.7,11.0,Active,2023,3,b. < 1-3 Years,0,1
EMP_0064,Indah Pratama,HR,2020-02-22,,"12,356,128",4.2,3.1,9.8,Active,2020,4,d. > 5 Years,0,1
EMP_0065,Putri Nugroho,Customer Support,2018-03-12,,"10,757,631",2.7,4.7,8.2,Active,2018,5,d. > 5 Years,0,1
EMP_0066,Sari Permana,Finance,2024-03-04,2025-08-25,"8,358,103",3.4,3.6,8.3,Active,2024,4,b. < 1-3 Years,0,1
EMP_0067,Dewi Wijaya,Sales,2020-06-05,2022-06-21,"12,783,312",4.2,3.3,9.6,Resigned,2020,4,c. < 3-5 Year,1,1
EMP_0068,Gita Kusuma,Sales,2022-01-18,,"7,098,244",2.0,3.8,7.6,Active,2022,4,c. < 3-5 Year,0,1
EMP_0069,Joko Wijaya,Operations,2023-07-04,,"5,845,617",2.0,3.7,9.3,Active,2023,4,b. < 1-3 Years,0,1
EMP_0070,Budi Kusuma,Customer Support,2023-05-11,,"6,754,554",2.2,5.0,7.4,Active,2023,5,b. < 1-3 Years,0,1
EMP_0071,Eko Kusuma,Engineering,2020-10-13,,"12,482,498",4.3,3.7,10.0,Active,2020,4,c. < 3-5 Year,0,1
EMP_0072,Maya Nugroho,Finance,2021-05-02,2024-03-25,"9,438,004",2.9,5.0,7.3,Active,2021,5,c. < 3-5 Year,0,1
EMP_0073,Gita Lestari,Marketing,2018-11-29,,"8,705,367",2.5,4.4,7.8,Active,2018,5,d. > 5 Years,0,1
EMP_0074,Putri Kusuma,Engineering,2020-08-06,,"10,106,834",2.8,4.2,9.3,Active,2020,5,c. < 3-5 Year,0,1
EMP_0075,Tono Lestari,Finance,2019-04-16,2020-08-13,"14,492,475",4.7,3.8,7.7,Active,2019,4,d. > 5 Years,0,1
EMP_0076,Wati Kusuma,Finance,2019-05-25,2021-08-04,"13,482,414",4.1,4.4,8.4,Active,2019,5,d. > 5 Years,0,1
EMP_0077,Wati Pratama,Finance,2021-08-13,2022-04-02,"8,208,626",2.3,3.1,11.2,Active,2021,4,c. < 3-5 Year,0,1
EMP_0078,Indah Pratama,Customer Support,2019-12-19,2022-12-08,"12,801,157",4.7,2.4,12.0,Active,2019,3,d. > 5 Years,0,1
EMP_0079,Citra Nugroho,Marketing,2022-07-31,2023-08-29,"11,603,976",4.6,3.9,9.1,Active,2022,4,b. < 1-3 Years,0,1
EMP_0080,Maya Pratama,Finance,2018-12-27,2021-04-17,"9,729,739",2.3,4.0,9.0,Active,2018,4,d. > 5 Years,0,1
EMP_0081,Sari Nugroho,Finance,2018-08-11,,"11,485,006",3.1,3.6,9.5,Resigned,2018,4,d. > 5 Years,1,1
EMP_0082,Indah Wijaya,Marketing,2022-11-30,2024-10-06,"7,666,457",2.4,3.0,10.0,Resigned,2022,3,b. < 1-3 Years,1,1
EMP_0083,Sari Pratama,HR,2022-07-30,,"13,628,250",5.0,5.0,7.6,Active,2022,5,b. < 1-3 Years,0,1
EMP_0084,Eko Nugroho,Operations,2021-04-10,2023-04-19,"9,777,627",3.2,2.0,11.9,Resigned,2021,2,c. < 3-5 Year,1,1
EMP_0085,Maya Lestari,HR,2023-09-13,2024-07-28,"10,931,386",4.6,3.8,10.9,Active,2023,4,b. < 1-3 Years,0,1
EMP_0086,Rina Kusuma,Customer Support,2018-01-11,,"11,019,938",2.9,3.9,9.9,Active,2018,4,d. > 5 Years,0,1
EMP_0087,Omar Nugroho,Marketing,2021-09-23,2025-04-07,"10,294,688",3.1,3.6,8.6,Active,2021,4,c. < 3-5 Year,0,1
EMP_0088,Tono Hidayat,Sales,2022-08-10,,"11,577,600",4.2,2.5,11.6,Active,2022,3,b. < 1-3 Years,0,1
EMP_0090,Omar Pratama,Operations,2019-08-14,2020-12-22,"9,233,497",2.2,2.3,11.8,Active,2019,3,d. > 5 Years,0,1
EMP_0091,Citra Permana,Customer Support,2023-12-26,2025-05-13,"10,670,682",3.9,3.8,10.8,Resigned,2023,4,b. < 1-3 Years,1,1
EMP_0092,Citra Lestari,Operations,2021-03-23,2022-03-23,"9,196,860",3.3,3.5,10.8,Resigned,2021,4,c. < 3-5 Year,1,1
EMP_0093,Fitri Kusuma,Engineering,2018-07-08,2019-04-28,"10,331,303",2.9,3.4,9.2,Active,2018,4,d. > 5 Years,0,1
EMP_0094,Fitri Wijaya,Sales,2018-11-20,2021-07-10,"11,865,329",3.9,3.9,9.5,Active,2018,4,d. > 5 Years,0,1
EMP_0095,Indah Nugroho,Marketing,2018-02-08,2021-03-16,"14,771,737",4.7,2.8,9.7,Active,2018,3,d. > 5 Years,0,1
EMP_0096,Tono Kusuma,Operations,2022-10-04,2024-07-12,"11,041,075",4.5,3.2,12.0,Resigned,2022,4,b. < 1-3 Years,1,1
EMP_0097,Maya Permana,HR,2021-04-26,2023-06-19,"8,284,549",2.1,2.9,10.3,Active,2021,3,c. < 3-5 Year,0,1
EMP_0098,Budi Nugroho,Customer Support,2021-03-18,2022-12-29,"10,736,130",3.8,3.8,8.1,Active,2021,4,c. < 3-5 Year,0,1
EMP_0099,Eko Santoso,Operations,2018-06-11,2021-05-28,"8,747,360",2.1,2.3,10.7,Resigned,2018,3,d. > 5 Years,1,1
EMP_0100,Nia Wijaya,Sales,2019-06-26,2022-01-10,"12,377,364",3.6,3.6,8.4,Active,2019,4,d. > 5 Years,0,1
EMP_0101,Putri Kusuma,Operations,2021-10-19,2024-12-01,"12,197,927",4.9,2.6,10.8,Active,2021,3,c. < 3-5 Year,0,1
EMP_0102,Maya Permana,Engineering,2022-06-05,,"9,942,796",3.6,4.6,8.8,Active,2022,5,b. < 1-3 Years,0,1
EMP_0103,Maya Permana,Engineering,2020-08-15,2024-08-02,"13,269,136",4.7,4.4,8.6,Active,2020,5,c. < 3-5 Year,0,1
EMP_0104,Omar Kusuma,Operations,2022-07-31,,"5,990,367",2.1,4.2,8.5,Active,2022,5,b. < 1-3 Years,0,1
EMP_0105,Sari Wijaya,Finance,2023-02-02,2025-08-30,"10,790,399",4.1,4.4,9.1,Active,2023,5,b. < 1-3 Years,0,1
EMP_0106,Nia Santoso,Customer Support,2023-06-28,2024-10-06,"6,234,591",2.1,4.3,8.1,Active,2023,5,b. < 1-3 Years,0,1
EMP_0107,Lina Santoso,Operations,2022-02-13,2024-08-15,"6,921,030",2.2,3.8,7.9,Active,2022,4,c. < 3-5 Year,0,1
EMP_0108,Omar Santoso,Operations,2020-05-18,2024-03-20,"12,719,768",4.9,2.5,10.9,Resigned,2020,3,c. < 3-5 Year,1,1
EMP_0109,Tono Lestari,Engineering,2024-03-20,,"7,917,033",2.6,4.9,8.2,Active,2024,5,b. < 1-3 Years,0,1
EMP_0110,Wati Pratama,Marketing,2019-08-16,2023-02-22,"9,157,726",2.8,5.0,7.5,Active,2019,5,d. > 5 Years,0,1
EMP_0111,Lina Lestari,HR,2021-08-19,,"8,052,132",2.8,3.2,10.7,Active,2021,4,c. < 3-5 Year,0,1
EMP_0112,Putri Nugroho,Customer Support,2022-01-22,2023-03-01,"9,237,225",3.4,1.7,11.7,Resigned,2022,2,c. < 3-5 Year,1,1
EMP_0113,Rina Kusuma,Finance,2018-05-08,,"11,471,019",3.4,3.2,9.1,Active,2018,4,d. > 5 Years,0,1
EMP_0114,Omar Santoso,Engineering,2021-08-12,2022-06-22,"8,305,178",2.4,3.5,10.2,Active,2021,4,c. < 3-5 Year,0,1
EMP_0115,Wati Kusuma,Finance,2023-09-02,2024-06-09,"10,207,066",4.4,3.2,11.3,Active,2023,4,b. < 1-3 Years,0,1
EMP_0116,Gita Hidayat,Finance,2020-07-24,2023-08-06,"10,652,025",3.2,4.6,7.5,Active,2020,5,c. < 3-5 Year,0,1
EMP_0117,Lina Wijaya,Operations,2023-04-27,,"10,537,982",4.5,4.4,9.2,Active,2023,5,b. < 1-3 Years,0,1
EMP_0118,Eko Pratama,HR,2024-04-19,2025-09-24,"6,393,602",2.4,3.7,11.4,Active,2024,4,b. < 1-3 Years,0,1
EMP_0119,Budi Kusuma,HR,2021-07-03,2025-03-27,"9,575,176",3.5,2.8,10.3,Resigned,2021,3,c. < 3-5 Year,1,1
EMP_0120,Sari Permana,Engineering,2021-02-15,2024-01-09,"13,049,148",4.5,3.2,11.1,Active,2021,4,c. < 3-5 Year,0,1
EMP_0121,Andi Kusuma,Engineering,2020-01-09,,"13,524,384",4.3,3.2,8.7,Active,2020,4,d. > 5 Years,0,1
EMP_0122,Tono Hidayat,Engineering,2019-08-05,2020-04-03,"8,919,351",2.3,4.3,8.1,Active,2019,5,d. > 5 Years,0,1
EMP_0123,Lina Kusuma,Operations,2021-08-21,2025-04-24,"11,636,063",3.8,4.2,7.3,Active,2021,5,c. < 3-5 Year,0,1
EMP_0124,Citra Kusuma,Finance,2022-10-03,2024-06-26,"8,476,737",3.2,2.3,10.8,Resigned,2022,3,b. < 1-3 Years,1,1
EMP_0125,Joko Nugroho,HR,2021-06-17,,"9,929,477",3.2,4.3,7.3,Active,2021,5,c. < 3-5 Year,0,1
EMP_0126,Eko Kusuma,Marketing,2021-09-05,,"10,066,162",3.5,4.3,7.9,Active,2021,5,c. < 3-5 Year,0,1
EMP_0127,Rina Permana,Engineering,2022-06-15,2023-03-08,"9,339,516",3.3,3.4,11.6,Active,2022,4,b. < 1-3 Years,0,1
EMP_0128,Tono Hidayat,Operations,2022-09-07,,"8,741,361",3.2,5.0,7.9,Active,2022,5,b. < 1-3 Years,0,1
EMP_0129,Lina Santoso,Finance,2019-03-10,,"12,108,418",3.8,5.0,7.4,Active,2019,5,d. > 5 Years,0,1
EMP_0130,Hendra Permana,Customer Support,2019-11-20,,"11,973,031",3.9,4.6,9.5,Active,2019,5,d. > 5 Years,0,1
EMP_0131,Eko Lestari,Engineering,2019-08-23,,"8,502,782",2.5,3.4,10.8,Resigned,2019,4,d. > 5 Years,1,1
EMP_0132,Putri Nugroho,Customer Support,2024-04-28,2025-06-11,"10,689,515",4.0,3.9,9.8,Active,2024,4,b. < 1-3 Years,0,1
EMP_0133,Kartika Wijaya,Finance,2018-10-07,2022-10-19,"9,996,579",2.9,3.2,10.0,Resigned,2018,4,d. > 5 Years,1,1
EMP_0134,Omar Nugroho,Engineering,2018-08-22,2020-09-27,"9,896,024",2.2,1.7,11.9,Resigned,2018,2,d. > 5 Years,1,1
EMP_0135,Maya Nugroho,HR,2024-03-20,2025-09-29,"11,236,309",4.7,2.9,11.5,Resigned,2024,3,b. < 1-3 Years,1,1
EMP_0136,Wati Nugroho,HR,2019-09-10,2022-09-16,"9,643,139",2.3,3.9,11.2,Resigned,2019,4,d. > 5 Years,1,1
EMP_0137,Fitri Pratama,Sales,2022-11-29,2024-11-14,"9,079,489",3.6,4.9,8.8,Active,2022,5,b. < 1-3 Years,0,1
EMP_0138,Kartika Pratama,Customer Support,2021-10-02,,"8,148,691",2.3,3.6,8.9,Active,2021,4,c. < 3-5 Year,0,1
EMP_0139,Wati Wijaya,Marketing,2018-11-30,2020-03-13,"13,797,178",4.8,3.0,11.8,Resigned,2018,3,d. > 5 Years,1,1
EMP_0140,Wati Santoso,Marketing,2024-04-08,2025-11-14,"7,135,125",3.0,4.0,10.4,Active,2024,4,b. < 1-3 Years,0,1
EMP_0141,Rina Santoso,Operations,2022-10-01,2023-04-17,"8,205,435",3.1,2.3,11.8,Active,2022,3,b. < 1-3 Years,0,1
EMP_0142,Gita Lestari,Sales,2019-09-27,,"12,346,353",4.5,3.8,9.5,Active,2019,4,d. > 5 Years,0,1
EMP_0143,Rina Pratama,Operations,2021-10-11,2025-09-25,"7,703,736",2.4,4.0,7.8,Active,2021,4,c. < 3-5 Year,0,1
EMP_0144,Wati Wijaya,Operations,2022-11-28,,"9,257,025",3.1,4.3,8.2,Active,2022,5,b. < 1-3 Years,0,1
EMP_0145,Omar Lestari,HR,2020-09-06,2023-10-21,"12,468,524",4.7,5.0,8.8,Active,2020,5,c. < 3-5 Year,0,1
EMP_0146,Omar Kusuma,Customer Support,2022-04-14,2025-02-14,"13,373,418",4.9,4.7,8.0,Active,2022,5,c. < 3-5 Year,0,1
EMP_0147,Budi Nugroho,Customer Support,2022-03-01,2023-03-26,"11,202,487",4.1,2.4,11.3,Active,2022,3,c. < 3-5 Year,0,1
EMP_0148,Indah Nugroho,HR,2019-08-27,2020-08-28,"13,242,359",4.8,3.7,11.1,Active,2019,4,d. > 5 Years,0,1
EMP_0149,Nia Pratama,Finance,2023-08-19,2025-03-16,"11,972,549",5.0,4.1,8.1,Active,2023,5,b. < 1-3 Years,0,1
EMP_0150,Kartika Wijaya,Sales,2018-06-06,,"14,248,809",4.5,3.4,11.2,Active,2018,4,d. > 5 Years,0,1
EMP_0151,Wati Pratama,Engineering,2018-03-19,,"14,048,185",4.5,2.9,11.7,Resigned,2018,3,d. > 5 Years,1,1
EMP_0152,Joko Lestari,Marketing,2019-05-15,,"11,584,105",3.3,2.6,10.1,Active,2019,3,d. > 5 Years,0,1
EMP_0153,Putri Pratama,Operations,2023-10-12,2024-09-03,"6,915,608",2.9,2.9,10.1,Active,2023,3,b. < 1-3 Years,0,1
EMP_0154,Citra Permana,Engineering,2023-11-25,2025-10-24,"9,270,894",3.7,1.9,11.4,Resigned,2023,2,b. < 1-3 Years,1,1
EMP_0155,Lina Kusuma,Operations,2018-03-08,2019-01-20,"11,449,416",3.0,2.6,10.3,Active,2018,3,d. > 5 Years,0,1
EMP_0156,Kartika Wijaya,Engineering,2021-12-14,2023-06-05,"12,461,910",4.5,4.2,9.3,Active,2021,5,c. < 3-5 Year,0,1
EMP_0157,Eko Santoso,Operations,2023-02-18,,"8,294,692",2.6,3.6,8.0,Active,2023,4,b. < 1-3 Years,0,1
EMP_0158,Rina Hidayat,Customer Support,2024-02-03,2024-09-07,"9,956,936",4.3,5.0,8.4,Active,2024,5,b. < 1-3 Years,0,1
EMP_0159,Kartika Kusuma,Engineering,2022-02-16,2024-11-11,"12,214,546",4.2,2.3,11.8,Resigned,2022,3,c. < 3-5 Year,1,1
EMP_0160,Putri Permana,Customer Support,2023-10-28,,"6,380,650",2.2,5.0,7.4,Active,2023,5,b. < 1-3 Years,0,1
EMP_0161,Sari Kusuma,Marketing,2019-02-25,,"12,070,165",4.0,4.3,9.2,Active,2019,5,d. > 5 Years,0,1
EMP_0162,Omar Permana,Finance,2018-06-23,2020-12-11,"12,277,889",3.8,5.0,8.4,Active,2018,5,d. > 5 Years,0,1
EMP_0163,Citra Hidayat,Marketing,2023-10-03,2024-09-10,"11,224,087",4.9,3.3,11.2,Active,2023,4,b. < 1-3 Years,0,1
EMP_0164,Eko Santoso,Sales,2022-02-09,2025-10-12,"6,469,728",2.1,4.2,10.4,Active,2022,5,c. < 3-5 Year,0,1
EMP_0165,Citra Wijaya,HR,2022-02-12,2024-03-03,"7,581,753",2.7,4.3,7.1,Active,2022,5,c. < 3-5 Year,0,1
EMP_0166,Sari Santoso,Marketing,2020-12-02,2022-08-13,"13,141,363",5.0,4.2,10.5,Active,2020,5,c. < 3-5 Year,0,1
EMP_0167,Eko Santoso,Finance,2019-12-09,2022-12-04,"14,734,015",5.0,4.0,10.4,Active,2019,4,d. > 5 Years,0,1
EMP_0168,Lina Santoso,HR,2024-01-30,,"7,091,955",2.9,4.1,10.6,Active,2024,5,b. < 1-3 Years,0,1
EMP_0169,Lina Lestari,Engineering,2020-04-03,2022-01-27,"11,730,463",4.4,4.2,8.8,Active,2020,5,d. > 5 Years,0,1
EMP_0170,Sari Wijaya,HR,2018-12-20,,"11,422,696",3.2,3.3,10.6,Active,2018,4,d. > 5 Years,0,1
EMP_0171,Tono Santoso,Sales,2021-07-22,2024-07-27,"10,109,639",3.4,4.9,8.7,Active,2021,5,c. < 3-5 Year,0,1
EMP_0172,Tono Wijaya,Customer Support,2019-06-13,2020-04-01,"13,365,990",4.5,3.9,7.8,Active,2019,4,d. > 5 Years,0,1
EMP_0173,Hendra Permana,HR,2021-03-09,2023-01-31,"8,764,787",2.6,4.6,8.4,Active,2021,5,c. < 3-5 Year,0,1
EMP_0174,Citra Wijaya,HR,2024-07-06,,"10,256,481",4.0,2.4,11.5,Active,2024,3,b. < 1-3 Years,0,1
EMP_0175,Budi Pratama,Engineering,2018-07-06,2022-03-28,"9,790,042",2.8,2.9,10.8,Active,2018,3,d. > 5 Years,0,1
EMP_0176,Putri Kusuma,Operations,2021-05-22,2024-02-27,"8,261,254",2.9,2.6,10.4,Resigned,2021,3,c. < 3-5 Year,1,1
EMP_0177,Omar Lestari,Marketing,2024-10-20,,"10,469,655",4.6,3.9,10.7,Active,2024,4,b. < 1-3 Years,0,1
EMP_0178,Eko Permana,HR,2024-04-19,,"6,509,001",2.7,3.8,8.3,Active,2024,4,b. < 1-3 Years,0,1
EMP_0179,Joko Hidayat,Customer Support,2022-09-09,,"11,192,448",4.6,3.8,11.1,Active,2022,4,b. < 1-3 Years,0,1
EMP_0180,Gita Wijaya,Finance,2023-10-10,2025-02-16,"8,303,914",3.5,2.7,11.7,Active,2023,3,b. < 1-3 Years,0,1
EMP_0181,Gita Permana,Engineering,2018-07-27,,"13,086,761",3.8,3.3,10.3,Active,2018,4,d. > 5 Years,0,1
EMP_0182,Dewi Hidayat,Sales,2020-12-19,2023-09-20,"9,559,258",3.1,5.0,7.3,Active,2020,5,c. < 3-5 Year,0,1
EMP_0183,Joko Santoso,Finance,2023-08-28,2025-09-09,"8,081,004",2.8,2.5,10.4,Active,2023,3,b. < 1-3 Years,0,1
EMP_0184,Maya Permana,Customer Support,2021-10-20,2024-05-05,"11,118,823",4.3,3.3,10.0,Resigned,2021,4,c. < 3-5 Year,1,1
EMP_0185,Budi Wijaya,Operations,2021-09-26,2025-02-20,"10,205,666",3.4,2.0,11.5,Active,2021,2,c. < 3-5 Year,0,1
EMP_0186,Kartika Wijaya,Finance,2021-05-10,2024-09-09,"12,441,054",4.5,3.9,9.4,Active,2021,4,c. < 3-5 Year,0,1
EMP_0187,Andi Permana,Marketing,2019-03-25,2022-12-29,"11,073,892",2.9,3.6,10.6,Resigned,2019,4,d. > 5 Years,1,1
EMP_0188,Putri Kusuma,Operations,2024-06-27,2025-12-28,"6,165,108",2.2,4.8,7.9,Active,2024,5,b. < 1-3 Years,0,1
EMP_0189,Maya Wijaya,Customer Support,2020-09-19,,"12,474,302",4.8,4.4,8.0,Active,2020,5,c. < 3-5 Year,0,1
